19,Andijon tumani,1703203,2
20,Baliqchi tumani,1703206,2
21,Bo‘ston tumani,1703209,2
22,Buloqboshi tumani,1703210,2
23,Jalaquduq tumani,1703211,2
24,Izboskan tumani,1703214,2
25,Ulug‘nor tumani,1703217,2
26,Qo‘rg‘ontepa tumani,1703220,2
27,Asaka tumani,1703224,2
28,Marxamat tumani,1703227,2
29,Shaxrixon tumani,1703230,2
30,Paxtaobod tumani,1703232,2
31,Xo‘jaobod tumani,1703236,2
32,Andijon,1703401,2
33,Xonobod,1703408,2
34,Olot tumani,1706204,3
35,Buxoro tumani,1706207,3
36,Vobkent tumani,1706212,3
37,G‘ijduvon tumani,1706215,3
38,Kogon tumani,1706219,3
39,Qorako‘l tumani,1706230,3
40,Qorovulbozor tumani,1706232,3
41,Peshku tumani,1706240,3
42,Romitan tumani,1706242,3
43,Jondor tumani,1706246,3
44,Shofirkon tumani,1706258,3
45,Buxoro,1706401,3
46,Kogon,1706403,3
47,Arnasoy tumani,1708201,4
48,Baxmal tumani,1708204,4
49,G‘allaorol tumani,1708209,4
50,Sharof Rashidov tumani,1708212,4
51,Do‘stlik tumani,1708215,4
52,Zomin tumani,1708218,4
53,Zarbdor tumani,1708220,4
54,Mirzacho‘l tumani,1708223,4
55,Zafarobod tumani,1708225,4
56,Paxtakor tumani,1708228,4
57,Forish tumani,1708235,4
58,Yangiobod tumani,1708237,4
59,Jizzax,1708401,4
60,G‘uzor tumani,1710207,5
61,Dehqonobod tumani,1710212,5
62,Qamashi tumani,1710220,5
63,Qarshi tumani,1710224,5
64,Koson tumani,1710229,5
65,Kitob tumani,1710232,5
66,Mirishkor tumani,1710233,5
67,Muborak tumani,1710234,5
68,Nishon tumani,1710235,5
69,Kasbi tumani,1710237,5
70,Chiroqchi tumani,1710242,5
71,Shahrisabz tumani,1710245,5
72,Yakkabog‘ tumani,1710250,5
73,Qarshi,1710401,5
74,Shahrisabz,1710405,5
75,Konimex tumani,1712211,6
76,Qiziltepa tumani,1712216,6
77,Navbahor tumani,1712230,6
78,Karmana tumani,1712234,6
79,Nurota tumani,1712238,6
80,Tomdi tumani,1712244,6
81,Uchquduq tumani,1712248,6
82,Xatirchi tumani,1712251,6
83,Navoiy,1712401,6
84,Zarafshon,1712408,6
85,G‘ozg‘on,1712412,6
86,Mingbuloq tumani,1714204,7
87,Kosonsoy tumani,1714207,7
88,Namangan tumani,1714212,7
89,Norin tumani,1714216,7
90,Pop tumani,1714219,7
91,To‘raqo‘rg‘on tumani,1714224,7
92,Uychi tumani,1714229,7
1,Amudaryo tumani,1735204,1
2,Beruniy tumani,1735207,1
3,Bo‘zatov tumani,1735209,1
4,Qorao‘zak tumani,1735211,1
5,Kegeyli tumani,1735212,1
6,Qo‘ng‘irot tumani,1735215,1
7,Qanliko‘l tumani,1735218,1
8,Mo‘ynoq tumani,1735222,1
9,Nukus tumani,1735225,1
10,Taxiatosh tumani,1735228,1
11,Taxtako‘pir tumani,1735230,1
12,To‘rtko‘l tumani,1735233,1
13,Xo‘jayli tumani,1735236,1
14,Chimboy tumani,1735240,1
15,Shumanay tumani,1735243,1
16,Ellikkala tumani,1735250,1
17,Nukus,1735401,1
93,Uchqo‘rg‘on tumani,1714234,7
94,Chortoq tumani,1714236,7
95,Chust tumani,1714237,7
97,Namangan,1714401,7
98,Oqdaryo tumani,1718203,8
99,Bulung‘ur tumani,1718206,8
100,Jomboy tumani,1718209,8
101,Ishtixon tumani,1718212,8
102,Kattaqo‘rg‘on tumani,1718215,8
103,Qo‘shrabot tumani,1718216,8
104,Narpay tumani,1718218,8
105,Payariq tumani,1718224,8
106,Pastdarg‘om tumani,1718227,8
107,Paxtachi tumani,1718230,8
108,Samarqand tumani,1718233,8
109,Nurobod tumani,1718235,8
110,Urgut tumani,1718236,8
111,Tayloq tumani,1718238,8
112,Samarqand,1718401,8
113,Kattaqo‘rg‘on,1718406,8
114,Oltinsoy tumani,1722201,9
115,Angor tumani,1722202,9
116,Bandixon tumani,1722203,9
117,Boysun tumani,1722204,9
118,Muzrabot tumani,1722207,9
119,Denov tumani,1722210,9
120,Jarqo‘rg‘on tumani,1722212,9
121,Qumqo‘rg‘on tumani,1722214,9
122,Qiziriq tumani,1722215,9
123,Sariosiyo tumani,1722217,9
124,Termiz tumani,1722220,9
125,Uzun tumani,1722221,9
126,Sherobod tumani,1722223,9
127,Sho‘rchi tumani,1722226,9
128,Termiz,1722401,9
129,Oqoltin tumani,1724206,10
130,Boyovut tumani,1724212,10
131,Sayxunobod tumani,1724216,10
132,Guliston tumani,1724220,10
133,Sardoba tumani,1724226,10
134,Mirzaobod tumani,1724228,10
135,Sirdaryo tumani,1724231,10
136,Xovos tumani,1724235,10
137,Guliston,1724401,10
138,Shirin,1724410,10
139,Yangiyer,1724413,10
140,Uchtepa tumani,1726262,11
141,Bektemir tumani,1726264,11
142,Yunusobod tumani,1726266,11
143,Mirzo Ulug‘bek tumani,1726269,11
144,Mirobod tumani,1726273,11
145,Shayxontoxur tumani,1726277,11
146,Olmazor tumani,1726280,11
147,Sirg‘ali tumani,1726283,11
148,Yakkasaroy tumani,1726287,11
149,Yashnobod tumani,1726290,11
150,Yangihayot tumani,1726292,11
151,Chilonzor tumani,1726294,11
152,Oqqo‘rg‘on tumani,1727206,12
153,Ohangaron tumani,1727212,12
154,Bekobod tumani,1727220,12
155,Bo‘stonliq tumani,1727224,12
156,Bo‘ka tumani,1727228,12
157,Quyichirchiq tumani,1727233,12
158,Zangiota tumani,1727237,12
159,Yuqorichirchiq tumani,1727239,12
160,Qibray tumani,1727248,12
161,Parkent tumani,1727249,12
162,Pskent tumani,1727250,12
163,O‘rtachirchiq tumani,1727253,12
164,Chinoz tumani,1727256,12
165,Yangiyo‘l tumani,1727259,12
166,Toshkent tumani,1727265,12
167,Nurafshon,1727401,12
168,Olmaliq,1727404,12
169,Angren,1727407,12
170,Bekobod,1727413,12
171,Ohangaron,1727415,12
172,Chirchiq,1727419,12
173,Yangiyo‘l,1727424,12
174,Oltiariq tumani,1730203,13
175,Qo‘shtepa tumani,1730206,13
176,Bog‘dod tumani,1730209,13
177,Buvayda tumani,1730212,13
178,Beshariq tumani,1730215,13
179,Quva tumani,1730218,13
180,Uchko‘prik tumani,1730221,13
181,Rishton tumani,1730224,13
182,So‘x tumani,1730226,13
183,Toshloq tumani,1730227,13
18,Oltinko‘l tumani,1703202,2
96,Yangiqo‘rg‘on tumani,1714242,7
184,O‘zbekiston tumani,1730230,13
185,Farg‘ona tumani,1730233,13
186,Dang‘ara tumani,1730236,13
187,Furqat tumani,1730238,13
188,Yozyovon tumani,1730242,13
189,Farg‘ona,1730401,13
190,Qo‘qon,1730405,13
191,Quvasoy,1730408,13
192,Marg‘ilon,1730412,13
193,Bog‘ot tumani,1733204,14
194,Gurlan tumani,1733208,14
195,Qo‘shko‘pir tumani,1733212,14
196,Urganch tumani,1733217,14
197,Xazorasp tumani,1733220,14
198,Tuproqqalʼa tumani,1733221,14
199,Xonqa tumani,1733223,14
200,Xiva tumani,1733226,14
201,Shovot tumani,1733230,14
202,Yangiariq tumani,1733233,14
203,Yangibozor tumani,1733236,14
204,Urganch,1733401,14
205,Xiva,1733406,14
